stage,lead_s,seed,config_id,name,n_res,sr,leak,ridge,washout,n_clips,median,q1,q3,mean,n_censored,cens_rate,median_estimable,median_is_lower_bound,median_strict,n_censored_strict,n_clips_nonfinite,rms_median,median_uncens,rank_in_lead
Stage1,8.0,42,nres800_sr0.7_leak0.1_ridge0.0001_wo50,,800,0.7,0.1,0.0001,50,29,0.3001255964706946,0.15006261859582004,0.8503546987143409,0.8727786272667554,4,0.13793103448275862,1,1,0.3001255964706946,4,0,53.567802650654315,0.25010453888846484,35.0
Stage1,8.0,42,nres800_sr0.95_leak0.5_ridge1e-06_wo50,,800,0.95,0.5,1e-06,50,29,0.3001255964706946,0.1500629952456194,0.5669036214805203,0.9233759808773158,4,0.13793103448275862,1,1,0.3001255964706946,4,0,72.53475947005592,0.2000839430547785,35.0
Stage1,8.0,42,nres1600_sr0.7_leak1.0_ridge0.0001_wo50,,1600,0.7,1.0,0.0001,50,29,0.3001251877815321,0.16673644248371922,0.6836184993378538,0.8802539812687052,2,0.06896551724137931,1,1,0.3001251877815321,2,0,77.72018454766611,0.28346283938208217,37.0
Stage1,8.0,42,nres400_sr0.7_leak0.1_ridge0.0001_wo50,,400,0.7,0.1,0.0001,50,29,0.3001249499399137,0.1500629689174957,0.9003738537502102,0.9647727045246743,4,0.13793103448275862,1,1,0.3001249499399137,4,0,64.98291385089547,0.21676739766078867,38.0
Stage1,8.0,42,nres400_sr0.9_leak0.1_ridge0.0001_wo50,,400,0.9,0.1,0.0001,50,29,0.3001249499399137,0.1500629689174957,0.9170474436344733,0.9854697800405607,5,0.1724137931034483,1,1,0.3001249499399137,5,0,82.06108949268433,0.2000835653236095,38.0
Stage1,8.0,42,nres800_sr0.7_leak0.5_ridge1e-06_wo50,,800,0.7,0.5,1e-06,50,29,0.3001242728715283,0.13338929536985233,0.5669031324762273,0.9072773605854595,4,0.13793103448275862,1,1,0.3001242728715283,4,0,93.49645038568097,0.16674284669534245,40.0
Stage1,8.0,42,nres800_sr0.9_leak0.5_ridge1e-06_wo50,,800,0.9,0.5,1e-06,50,29,0.3001242728715283,0.13338930570444063,0.5669036214805203,0.9331501857256568,4,0.13793103448275862,1,1,0.3001242728715283,4,0,92.51075630468597,0.23343025837968412,40.0
Stage1,8.0,42,nres800_sr0.7_leak1.0_ridge0.0001_wo50,,800,0.7,1.0,0.0001,50,29,0.28346283938208217,0.13338897548055684,0.5502295456335471,0.8083852649476795,3,0.10344827586206896,1,1,0.28346283938208217,3,0,80.34582901834072,0.2584416973857846,42.0
Stage1,8.0,42,nres1600_sr0.7_leak0.5_ridge1e-06_wo50,,1600,0.7,0.5,1e-06,50,29,0.28346283938208217,0.1667366321305508,0.4501869268751051,0.9682221035077123,5,0.1724137931034483,1,1,0.28346283938208217,5,0,98.84212013611226,0.2751146444401371,42.0
Stage1,8.0,42,nres400_sr0.9_leak0.25_ridge0.0001_wo50,,400,0.9,0.25,0.0001,50,29,0.28345229561357854,0.1500630702102299,0.6335959404493394,0.9578721910780823,5,0.1724137931034483,1,1,0.28345229561357854,5,0,73.58545794294959,0.24176771168089717,44.0
Stage1,8.0,42,nres400_sr0.95_leak0.25_ridge0.0001_wo50,,400,0.95,0.25,0.0001,50,29,0.28345229561357854,0.13338932910721724,0.6836163993184812,0.960171911820748,5,0.1724137931034483,1,1,0.28345229561357854,5,0,64.16096237040587,0.2000837148480663,44.0
Stage1,8.0,42,nres400_sr1.1_leak0.1_ridge0.0001_wo50,,400,1.1,0.1,0.0001,50,29,0.28345227462193634,0.1333894038219512,0.6169221164581415,0.9728213198020015,5,0.1724137931034483,1,1,0.28345227462193634,5,0,65.96764747544792,0.20842039174110027,46.0
Stage1,8.0,42,nres800_sr0.9_leak0.1_ridge0.0001_wo50,,800,0.9,0.1,0.0001,50,29,0.28345227462193634,0.1500630792996951,0.8003338340840855,0.9871980384035015,5,0.1724137931034483,1,1,0.28345227462193634,5,0,57.730549960235344,0.2250941895664349,46.0
Stage1,8.0,42,nres400_sr0.7_leak0.1_ridge1e-06_wo50,,400,0.7,0.1,1e-06,50,29,0.28345195222232267,0.15006295503215483,0.8170095579450205,0.9733963000323381,5,0.1724137931034483,1,1,0.28345195222232267,5,0,72.2840524577124,0.18341042470050972,48.0
Stage1,8.0,42,nres400_sr1.1_leak0.5_ridge0.0001_wo50,,400,1.1,0.5,0.0001,50,29,0.28345195222232267,0.11671566296881508,0.5502290748898417,0.910149316689058,5,0.1724137931034483,1,1,0.28345195222232267,5,0,85.71358038093943,0.20008381650351126,48.0
Stage1,8.0,42,nres800_sr0.95_leak0.5_ridge0.0001_wo50,,800,0.95,0.5,0.0001,50,29,0.28345195222232267,0.1333892933619154,0.8837019975326665,0.9676460713932035,5,0.1724137931034483,1,1,0.28345195222232267,5,0,53.94359759597792,0.20842030583806093,48.0
Stage1,8.0,42,nres800_sr1.1_leak0.5_ridge1e-06_wo50,,800,1.1,0.5,1e-06,50,29,0.28345195222232267,0.16673661921231542,0.5669036214805203,0.9733959900531116,5,0.1724137931034483,1,1,0.28345195222232267,5,0,70.3864546226382,0.2584413102123655,48.0
Stage1,8.0,42,nres1600_sr0.9_leak0.25_ridge1e-06_wo50,,1600,0.9,0.25,1e-06,50,29,0.28345195222232267,0.1500629689174957,0.6502729134664449,1.023418153576988,5,0.1724137931034483,1,1,0.28345195222232267,5,0,56.191153444183854,0.24176787136498312,48.0
Stage1,8.0,42,nres1600_sr0.7_leak0.1_ridge1e-06_wo50,,1600,0.7,0.1,1e-06,50,29,0.28345181074026016,0.15006295729108388,1.0004159530217294,1.0004191323415839,5,0.1724137931034483,1,1,0.28345181074026016,5,0,52.68204235345684,0.2250946123849289,53.0
Stage1,8.0,42,nres1600_sr0.7_leak0.25_ridge1e-06_wo50,,1600,0.7,0.25,1e-06,50,29,0.28345181074026016,0.13338897548055684,0.9670671014749246,1.0389416068469965,5,0.1724137931034483,1,1,0.28345181074026016,5,0,57.7119632022924,0.20008805992489087,53.0
Stage1,8.0,42,nres400_sr0.95_leak0.1_ridge0.0001_wo50,,400,0.95,0.1,0.0001,50,29,0.2834515728961833,0.1333894038219512,0.9337210335187365,0.9883448599004587,5,0.1724137931034483,1,1,0.2834515728961833,5,0,70.61754646641359,0.2000835653236095,55.0
Stage1,8.0,42,nres800_sr1.1_leak0.1_ridge1e-06_wo50,,800,1.1,0.1,1e-06,50,29,0.2834513416099185,0.13339427735627396,0.8670283749377106,0.9733960486144206,5,0.1724137931034483,1,1,0.2834513416099185,5,0,58.19216411289562,0.20008344355980512,56.0
Stage1,8.0,42,nres1600_sr1.1_leak1.0_ridge1e-08_wo50,,1600,1.1,1.0,1e-08,50,29,0.2834513416099185,0.11672090643273236,0.550228466180684,0.9055523830498513,4,0.13793103448275862,1,1,0.2834513416099185,4,0,58.6506518022794,0.25010405035018834,56.0
Stage1,8.0,42,nres1600_sr1.1_leak1.0_ridge1e-06_wo50,,1600,1.1,1.0,1e-06,50,29,0.2834513416099185,0.13338897548055684,0.550228466180684,0.902102507981631,4,0.13793103448275862,1,1,0.2834513416099185,4,0,73.3834673361814,0.2167577680814432,56.0
Stage1,8.0,42,nres1600_sr0.95_leak1.0_ridge1e-06_wo50,,1600,0.95,1.0,1e-06,50,29,0.2667885547125479,0.11671564249138555,0.43351333699084194,0.7618122025116707,3,0.10344827586206896,1,1,0.2667885547125479,3,0,96.14411083884698,0.2667781424362943,59.0
Stage1,8.0,42,nres400_sr0.9_leak0.5_ridge0.0001_wo50,,400,0.9,0.5,0.0001,50,29,0.26677865821443447,0.11671572127462326,0.583576790823459,0.911299806179666,5,0.1724137931034483,1,1,0.26677865821443447,5,0,75.76526824037576,0.18341004095848268,60.0
Stage1,8.0,42,nres800_sr1.1_leak1.0_ridge0.0001_wo50,,800,1.1,1.0,0.0001,50,29,0.266778631165721,0.11671564249138555,0.5669031324762273,0.8221830304715908,4,0.13793103448275862,1,1,0.266778631165721,4,0,71.5218318766937,0.25010384826394727,61.0
Stage1,8.0,42,nres1600_sr0.9_leak0.25_ridge0.0001_wo50,,1600,0.9,0.25,0.0001,50,29,0.266778631165721,0.11671572127462326,0.9337199600447548,1.1211602633403974,5,0.1724137931034483,1,1,0.266778631165721,5,0,49.898511668275134,0.23343109397266915,61.0
