side,subset,model,level,sigma_theta_deg,sigma_omega,n,median,q25,q75,mean,std,min,max,cens_frac,median_of_trial_medians,n_trials,median_vs_ideal
insim,all50,Analytic,th1.0,1.0,0.0,1000.0,2.5125,1.2645833333333334,9.612499999999999,4.365266666666667,3.7122418955399596,0.21666666666666667,10.0,0.244,2.2583333333333333,50.0,
insim,all50,Analytic,w0.03,0.0,0.03,1000.0,10.0,6.614583333333333,10.0,8.20735,2.8601905775423577,0.65,10.0,0.654,10.0,50.0,
insim,all50,Analytic,w0.09,0.0,0.09,1000.0,6.7125,2.8979166666666667,10.0,6.402708333333333,3.5275849357233953,0.25,10.0,0.423,6.947916666666666,50.0,
insim,all50,Analytic,w0.2,0.0,0.2,1000.0,3.1791666666666663,1.5791666666666666,10.0,4.706916666666666,3.6793317520800004,0.14166666666666666,10.0,0.252,3.283333333333333,50.0,
insim,all50,Analytic,joint_0.45_0.09,0.45,0.09,1000.0,3.5625,2.025,10.0,5.049508333333333,3.561231505593768,0.20833333333333334,10.0,0.266,3.2625,50.0,
insim,all50,Analytic,det_joint_0.45_0.09,0.45,0.09,50.0,6.800000000000001,2.597916666666667,10.0,6.241999999999999,3.7217785229846307,0.625,10.0,0.4,6.800000000000001,50.0,
insim,chaos_pinn,Analytic,clean,0.0,0.0,49.0,10.0,10.0,10.0,9.83656462585034,0.8089287904271052,5.425,10.0,0.9591836734693877,10.0,49.0,
insim,chaos_pinn,Analytic,th0.1,0.1,0.0,980.0,10.0,7.264583333333333,10.0,8.48110544217687,2.6033051445907702,0.5416666666666666,10.0,0.673469387755102,10.0,49.0,
insim,chaos_pinn,Analytic,th0.45,0.45,0.0,980.0,4.691666666666666,2.533333333333333,10.0,5.765357142857143,3.578608482414916,0.325,10.0,0.3489795918367347,4.175,49.0,
insim,chaos_pinn,Analytic,th0.5,0.5,0.0,980.0,4.241666666666667,2.3583333333333334,10.0,5.54313775510204,3.604535646366293,0.31666666666666665,10.0,0.3326530612244898,3.808333333333333,49.0,
